,Defect,Reason,Method
2396,Токоприемник выходит за пределы габарита электровоза,"Соберите аварийную схему питания цепей управления от РЩ второй секции, переключив переключатель ЗР на РЩ в нижнее положение.",
2395,Токоприемник выходит за пределы габарита электровоза,,"Блокировочный переключатель БП находится в положении ""торможение""."
2394,Токоприемник выходит за пределы габарита электровоза,"Установить тормозную рукоятку в нулевую позицию, а главную кратковременно переведите в положение ""АВ"" и вернуть в нулевое положение.",
2393,Токоприемник выходит за пределы габарита электровоза,,Излом поворотного изолятора ГВ.
2392,Токоприемник выходит за пределы габарита электровоза,Перейти на работу исправной секцией.,6
2391,Токоприемник выходит за пределы габарита электровоза,Отключение ГВ на одной из секций со срабатыванием РП1 - РП4 в цепи реле 264 в режиме тяги.,Сработало реле перегрузки ТЭД РП1 - РП4 в цепи реле 264
2390,Токоприемник выходит за пределы габарита электровоза,Неисправный ТЭД отключить разъединителем ОД1 - ОД4 и продолжить движение на исправных ТЭД,7
2389,Токоприемник выходит за пределы габарита электровоза,При следовании с поездом отключается ГВ и загораются лампы РЗ и РП,Неисправный ТЭД.
2388,Токоприемник выходит за пределы габарита электровоза,"Допустимо дважды восстанавливать защиту для попытки вывести поезд на низших позициях. Если защиту восстановить невозможно, то по блинкеру РП определить неисправный двигатель, отключить его разъединителем ОД1 - ОД4 и продолжить движение на исправных ТЭД.",8
2387,Токоприемник выходит за пределы габарита электровоза,"Сработало дифференциальное реле БРД, отключился ГВ и загорелась лампа ВУ",Короткое замыкание в плече выпрямительной установки.
2386,Токоприемник выходит за пределы габарита электровоза,"Отключить неисправную выпрямительную установку разъединителями 81, 82 и продолжить движение на исправной ВУ.",Цепи линейных контакторов 51 - 54
2385,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях","Отключен автомат ""Цепь управления"".","Включите в кабине управления автомат ВА - 2 ""Цепь управления""."
2384,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях",Не включено устройство блокировки тормозов 213.,Включите в кабине управления устройство
2383,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях",блокировки тормозов 213.,
2382,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях",,Не включен ЭПК в кабине управления.
2381,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях",Включите в кабине управления ЭПК.,10
2380,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях",На одной из секций линейные контакторы 51-54 не включаются,"Не отключились реле 270. Не включены разъединители ОД1-ОД4, 81, 82."
2379,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях","Не включены контакторы 129, 130, 133.",Обрыв цепи питания линейных контакторов
2378,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях","Проверьте положение разъединителей ОД1-ОД4, 81, 82 (разъединители должны быть включены).","Проверьте включение контакторов 129, 130, 133."
2377,"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера в положении АВ контакторы 51-54 не включаются на обеих секциях","При невозможности быстрого определения места обрыва цепи питания ЛК отключите аварийную секцию, следовать на исправной.",Цепи управления
2376,Вал группового переключателя не вращается,Неисправен групповой переключатель,Отключить неисправную секцию и следовать на исправной секции.
2375,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет",Не включена локомотивная сигнализация.,"Не перешел в конечное положение один из реверсоров, тормозных переключателей, переключатели потока воздуха; блокировочный переключатель."
2374,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет",ЭКГ не перешел в нулевое положение.,"Нарушен контакт в цепи блокировок контактора мотор-вентиляторов МВЗ, МВ4."
2373,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет",Не включены разъединители двигателей ОД1-ОД4,"Не включены разъединители выпрямительной установки 81, 82."
2372,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет",Поверните ключ ЭПК в крайнее левое положение.,"Несколько раз переключите аппараты из одного положения в другое, действуя при этом реверсивной и главной рукоятками. Проверьте по указателю позиций, на какой позиции находится ГП. Если ГП не дошел до нулевой позиции, то произвести набор и сброс позиций ГП."
2371,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет","Осмотрите блокировки контакторов мотор-вентиляторов, проверьте, включены ли разъединители ОД1-ОД4 двигателей и разъединители вентилей 81, 82.",13
2370,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет","Контакторы 208, 206 включены, ЭКГ не вращается, не слышен шум воздуха, проходящего через контакторы А, Б, В, Г, так как нет питания на дугогасительеных вентилях 221, 222",Перегорел предохранитель на РЩ в цепи провода Н49 (в цепи серводвигателя).
2369,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет",Перегоревший предохранитель замените.,14
2368,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет","Серводвигатель вращается, а вал ЭКГ стоит на месте.",Неисправна предельная муфта ЭКГ.
2367,"При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений не включаются контакторы тяговых двигателей, лампа ТД не гаснет",Переключателем режимов отключите неисправную секцию.,Неисправность в цепи АБ
2366,"Изменился накал ламп, упало напряжение в цепях управления.","Неисправен ТРПШ, перегорел предохранитель в первичной обмотке или вторичной обмотке ТРПШ.","Выключателем ВА-22 ""Включение РЩ"" на блоке 216 отключите РЩ, рубильник 3Р установите в нижнее положение; цепи управления обеих секций получают питание от ТРПШ другой секции."
2365,Перегорел предохранитель в цепи аккумуляторной батареи на РЩ.,Короткое замыкание в цепи управления. Большой зарядный или разрядный ток батареи (вследствие неправильной регулировки регулятора напряжения).,"Автоматом ВА22 на блоке 216 отключите РЩ, рубильник ЗР установите в нижнее положение. Цепи управления обеих секций получают питание от ТРПШ другой секции."
2364,Батарея не дает напряжения.,"Обрыв или перегорание перемычек между отдельными банками. Обрыв одного из проводов, идущих от батареи к нижним зажимам предохранителей батареи.","Автоматом ВА22 на блоке 216 отключите РЩ, рубильник ЗР установите в нижнее положение. Цепи управления обеих секций получают питание от ТРПШ другой секции."
2363,Низкое напряжение в цепях управления.,Вышла из строя батарея одной из секций.,"Переключите рубильник ЗР на распределительном щите этой секции в нижнее положение, что обеспечит питание неисправной секции от исправной батареи другой секции."
2362,Низкое напряжение в цепях управления.,Цепи вспомогательных машин,19
2361,Низкое напряжение в цепях управления.,Прекратилась работа вспомогательных машин одной из секций.,Неисправен фазорасщепитель или цепи его управления.
2360,Низкое напряжение в цепях управления.,"Отключите вспомогательные машины и проверьте тепловые реле защиты фазорасщепителя этой секции, а также неисправность цепи катушек контактора 125. Если после этого фазорасщепитель не запустится, то перейдите на работу по схеме резервирования фазорасщепителей.","Запуск вспомогательных машин производить в следующей последовательности: МВ-2, МВ-3, МВ-4, МВ-1, МК."
2359,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,При проследовании нейтральной вставки теряют питание цепи управления,Сгорела вставка предохранителя аккумуляторной батареи F1 или F2 по причине КЗ в цепях аккумуляторной батареи.
2358,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"На РЩ неисправной секции батарею отключить рубильником SA2, рубильник цепей управления SA1 перевести в положение ""Аварийно"".",2
2357,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Не поднимаются токоприемник секции 1 и токоприемник секции 2,
2356,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Напряжение в ЦУ головной секции ниже 35В.,"Перевести рубильник цепей управления SA1 на РЩ головной секции в положение ""Аварийно""."
2355,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Низкое давление воздуха в ЦУ в одной из секций ниже 5 атм.,"Пополнить давление воздуха вспомогательным компрессором, или в неисправной секции шторы ВВК замкнуть ключами ФШ, ключи вставить в блокировочное устройство SQ5 и перевести его рукоятку в положение ""Реле давления зашунтировано""."
2354,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Поднять токоприемник исправной секции.,
2353,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Включен рубильник QS3.
2352,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"Отключить рубильники QS3 на блоках А11,А12, А13.",
2351,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Отключен автомат SF21
2350,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Проверить включение автомата SF21 (востановить),
2349,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Не заблокированы шторы ВВК
2348,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Закрыть шторы ВВК,
2347,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Не включены реле KV44
2346,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Проверить ключение реле KV44,3
2345,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Не включается ГВ обеих секций,Низкое давление в резервуарах ГВ (менее 6 атм.).
2344,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Повысить давление воздуха в резервуарах ГВ вспомогательным компрессором (не менее 6 атм.).,
2343,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Напряжение в ЦУ головной секции ниже 35В.
2342,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"Перевести рубильник цепей управления SA1 на РЩ головной секции в положение ""Аварийно"".",
2341,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,"Выключены тумблеры S61, S62, ""Отключение секции""."
2340,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"Включить секции электровоза тумблерами S61, S62, ""Отключение секции"".",
2339,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,"Отключены автоматов SF22, SF23, SF24"
2338,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"Проверить включение автоматов SF22, SF23, SF24",
2337,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,"Не включена блокировка тормозов, не горят сигнальные лампы на пульте сигнализации"
2336,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Включить блокировку тормозов,
2335,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,"Контролер машиниста в положении ""НР"", не включено реле KV21"
2334,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"Контролера машиниста установить в положении ""0"", проверить включение реле KV21",
2333,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,"Не поднят токоприемник, не включено реле KV44"
2332,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Проверить включение реле KV44,4
2331,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Не включается ГВ одной секции,Обрыв цепи включающей катушки ГВ QF5-УА1
2330,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"Следовать на одной секции, если позволяет вес поезда.",
2329,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Низкое давление в резервуаре ГВ неисправной секции
2328,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Повысить давление в ГВ вспомогательным компрессором,
2327,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Напряжение в ЦУ головной секции ниже 35В
2326,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Перевести рубильник цепей управления,SA1 на РЩ головной секции в
2325,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"положение ""Аварийно""",
2324,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Не включено реле KV44 на неисправной секции
2323,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Проверить включение реле KV44,5
2322,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,ГВ одной секции включается и вновь отключается,"Срабатывает защита ВИП U1 (КА1, или КА2, или КА3)."
2321,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Отключить неисправный ВИП рубильником QS11.,
2320,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,"Срабатывает защита ВИП U2 (КА4, или КА5, или КА6)."
2319,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Отключить неисправный ВИП рубильником QS12.,
2318,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,"Срабатывает защита ВИП U3 (КА7, или КА8, или КА9)."
2317,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Отключить неисправный ВИП рубильником QS13.,
2316,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,,Срабатывает РЗ (только под нагрузкой).
2315,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,"Определить неисправную группу поочерёдным отключением тумблеров на ЩПР ""Вентилятор 1"" S11 и ""Вентилятор 2"" S12 ""Вентилятор 3"" S13 (на ходу) и, не останавливаясь следовать на 10-ти ТЭД, отключив на ЩПР МВ неисправной группы тумблером S11 или S12, или S13.","Если 10-ти ТЭД не достаточно, определить неисправный ТЭД отключением ножей QS1 и QS2 неисправной группы. (При этом QS4 должен быть включен). Далее следовать с учетом оставшихся в работе ТЭД, и веса поезда."
2314,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Срабатывает защита ВУВ КА12.,Отключить ВУВ ножом Q1.
2313,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Срабатывает РМТ.,"Отключить неисправную секцию переключателем SA5 с помощью тумблера ""Отключение секции"" (S61, или S62). Следовать с учетом оставшихся в работе секций, и веса поезда."
2312,При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.,Срабатывает защита обмотки собственных нужд КА15 из-за приваривания силовых контактов контактора одной из вспомогательных машин,"Визуально определить приварившийся контактор, разлепить силовые контакты, отключить неисправную вспомогательную машину на ЩПРе и продолжить движение на оставшейся мощности локомотива"
2311,"Отключается автомат SF22 при включении на пульте кнопки ""Главный выключатель""",КЗ в цепи удерживающей катушки ГВ QF5-УА2.,"1. Отключить вручную обе секции переключателями SA5 и отключить на пульте тумблеры ""Отключение секции"" S61, S62. Восстановить автомат SF22. Включить на пульте кнопку ""Главный выключатель"""
2310,"Отключается автомат SF22 при включении на пульте кнопки ""Главный выключатель""","2. Если автомат SF22 не отключился, определить неисправную секцию поочередно включая секции с помощью тумблеров ""Отключение секции"" S61, S62. Отключить неисправную секцию вручную тумблером ""Отключение секции"" S61 (или S62).",Далее следовать на одной секции.
2309,"Отключается автомат SF22 при включении на пульте кнопки ""Возврат защиты""",КЗ в цепи включающей катушки ГВ QF5-УА1.,"Отключить обе секции переключателями SA5 с помощью тумблеров ""Отключение секции"" S61, S62. Восстановить автомат SF22 и включить кнопку ""ГВ"" на пульте."
2308,"Отключается автомат SF22 при включении на пульте кнопки ""Возврат защиты""","Поочередно включая переключатели режимов с помощью тумблеров ""Отключение секции"" S61, S62 и нажимая кнопку ""возврат защиты"" определить неисправную секцию и отключить её.",Далее следовать на одной секции.
2307,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""",КЗ в цепи катушки реле KV43.,"Кнопку ""Возврат защиты"" не включать."
2306,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""",ГВ и БВ включать нажимая рукой на 2-3 сек. на якорь KV43 в каждой секции.,9
2305,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""","Не включаются БВ QF1, QF2 одной группы (или один БВ).","Неисправность цепи удерживающих или включающих катушек БВ QF1, QF2."
2304,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""","Далее следовать с учетом оставшихся в работе ТЭД, и веса поезда.",
2303,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""",,Потеря контакта в проводах Н175 или Н182 или Н189 на реле KV23.
2302,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""","Запустить МВ, собрать Тягу и включить ВБ штатным порядком.",10
2301,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""","При постановке штурвала в положение ""П"" не гаснет лампа ""ВИП"", при переводе штурвала в ""НР"" отпадают БВ одной секции.","Неисправность цепи контакторов КМ41, КМ42, КМ43."
2300,"Отключается автомат SF23 при включении на пульте кнопки ""Возврат защиты""",Проверить включение реле KV22.,Следовать на одной секции с учетом веса поезда.
2299,"При постановке штурвала в положение ""П"" не гаснет лампа ""ВИП"", при переводе штурвала в ""НР"" отпадают БВ одной группы.","Не включился один из контакторов КМ41, или КМ42, или КМ43. Неисправность блокировки контакторов КМ41, или КМ42, или КМ43.",Далее следовать с учетом оставшихся в работе ТЭД и веса поезда.
2298,Тормозные переключатели QT1 обеих секций не переводятся в режим тяги.,Отсутствует питание в проводе Э6 при переходе в режим тяги.,"Перевести тормозные переключатели QT1 в режим ""Тяга"" вручную, нажав на шток вентиля ""Тяга"" каждого переключателя."
2297,Тормозной переключатель QT1 одной группы не переводится в режим тяги.,"Механическое заедание или неисправность вентиля ""Тяга"".","Перевести тормозной переключатель QT1 в режим ""Тяга"" вручную, или нажав на шток вентиля ""Тяга""."
2296,"Схема тяги собирается (лампы ""ВИП"", ""С1"" и ""С2"" гаснут), нагрузки на ТЭД нет","Неисправность БУ или сгорел один предохранителей F40, или F45.",Переключиться на БУ другой секции. Сменить предохранители.
2295,"Схема тяги собирается (лампы ""ВИП"", ""С1"" и ""С2"" гаснут), нагрузки на ТЭД нет, при переключении на другой БУ нагрузка появляется только на одной секции.",Сгорела вставка предохранителя F17.,Заменить предохранитель. При повторном перегорании вставки F17 следовать на одной секции с учетом веса поезда.
2294,"Схема тяги собирается (лампы ""ВИП"", ""С1"" и ""С2"" гаснут), на ТЭД одной группы нет нагрузки.","Неисправность блока питания ВИП (А61, А62 или 63) или сгорела вставка предохранителя ""Сеть"" в блоке питания ВИП.","Заменить предохранитель ""Сеть"" в неисправном блоке, при повторном перегорании вставки следовать на 10-ти ТЭД, если позволяет вес поезда."
2293,"При включенной кнопке ""ФР"" тяжелый запуск МВ в одной секции компрессор и маслонасос этой секции не запускаются.",Неисправность цепи провода Э40 в неисправной секции.,"Отключить неисправную секцию переключателями SA5 с помощью тумблера ""Отключение секции"" (S61,или S62). Далее следовать на одной секции с учетом веса поезда."
2292,"Отключается автомат SF28 при включении кнопки ""Фазорасщепитель"" на пульте машиниста.",Неисправность цепи контактора фазорасщепителя.,"На ЩПР обеих секций выключить тумблер S10 ""Фазорасщепитель"", восстановить автомат SF28, включить кнопку ""Фазорасщепитель"" на пульте управления, если автомат SF26 не отключился, тумблеры S10 на ЩПР не включать, запустить МВ4 используя его в качестве фазорасщепителя."
2291,Не запускается компрессоры всех секций.,Сработали ТРТ КК16.,Восстановить ТРТ.
2290,Не запускается компрессоры всех секций.,Неисправен регулятор давления SP6.,"Управлять работой компрессоров кнопкой ""Компрессор"" S23 на пульте машиниста."
2289,Не запускается компрессор одной секции.,Сработали ТРТ КК16.,Восстановить ТРТ
2288,Не запускается компрессор одной секции.,Обрыв цепи Контактора КМ16.,Работать с одним компрессором.
2287,"Отключается автомат SF32 при включении кнопки ""Компрессор"" на пульте машиниста (при включенном SP6).",КЗ в цепи управления МК.,"На ЩПР обеих секций выключить тумблер S16 ""Компрессор"", восстановить автомат SF32, включить кнопку ""Компрессор"" на пульте управления. Поочередно включая тумблеры на ЩПР S16 определить неисправную секцию. В неисправной секции тумблер S16 отключить. Далее работать с одним компрессором."
2286,Нет запуска МВ1 и М2 всех секций.,Неисправность в проводе Н029 (обрыв или КЗ).,Если позволяет вес поезда следовать на 4-х ТЭД.
2285,Нет запуска МВ1 и М2 всех секций.,23.,"Отключается автомат SF29 при включении кнопки ""Вентилятор 1"" на пульте машиниста."
2284,Нет запуска МВ1 и М2 всех секций.,КЗ в цепи управления МВ1.,"На ЩПР всех секций выключить тумблер S11 ""Вентилятор 1"", восстановить автомат SF29, включить кнопку ""Вентилятор 1"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат SF29 не отключился, поочередно включая тумблеры на ЩПР S11 определить неисправную секцию. В неисправной секции тумблер S11 отключить. Далее следовать с учетом оставшихся в работе ТЭД и веса поезда."
2283,"Отключается автомат SF29 при включении кнопки ""Вентилятор 2"" на пульте машиниста.",КЗ в цепи управления МВ2.,"На ЩПР всех секций выключить тумблер S12 ""Вентилятор 2"", восстановить автомат SF29, включить кнопку ""Вентилятор 2"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат SF29 не отключился, поочередно включая тумблеры на ЩПР S12 определить неисправную секцию. В неисправной секции тумблер S12 отключить. Далее следовать с учетом оставшихся в работе ТЭД и веса поезда."
2282,"Отключается автомат SF30 при включении кнопки ""Вентилятор 3"" на пульте машиниста.",КЗ в цепи управления МВ3.,"На ЩПР всех секций выключить тумблер S13 ""Вентилятор 3"", восстановить автомат SF30, включить кнопку ""Вентилятор 3"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат SF30 не отключился, поочередно включая тумблеры на ЩПР S13 определить неисправную секцию. В неисправной секции тумблер S13 отключить. Далее следовать с учетом оставшихся в работе ТЭД и веса поезда."
2281,"Отключается автомат SF30 при включении кнопки ""Вентилятор 4"" на пульте машиниста.",КЗ в цепи управления МВ4.,"На ЩПР всех секций выключить тумблер S14 ""Вентилятор 4"", восстановить автомат SF30, включить кнопку ""Вентилятор 4"" на пульте управления,"
2280,"Отключается автомат SF30 при включении кнопки ""Вентилятор 4"" на пульте машиниста.",1. Если автомат отключится кнопку не включать - заказать вспомогательный локомотив.,"2.Если автомат SF30 не отключился, поочередно включая тумблеры на ЩПР S14 определить неисправную секцию. В неисправной секции тумблер S14 отключить. Далее следовать на одной секции с учетом веса поезда."
2279,Нет запуска МВ1 обеих секций,Неисправна цепь контакторов КМ11.,Следовать на 6-ти ТЭД если позволяет вес поезда.
2278,Нет запуска МВ2 обеих секций,Неисправна цепь контакторов КМ12.,
2277,Нет запуска МВ3 обеих секций,Неисправна цепь контакторов КМ13.,
2276,Не запускается МВ1 в одной секции.,Сработали ТРТ КК11.,Восстановить ТРТ.
2275,Не запускается МВ1 в одной секции.,Неисправна цепь контактора КМ11 в одной секции.,"Следовать далее с учетом оставшихся в работе ТЭД, и веса поезда."
